,CODIGO,CODIGO_CORTO,ESTACION,DIRECCION,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,COD_TIPO,NOM_TIPO,NO2,SO2,CO,PM10,PM2_5,O3,BTX,COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,Fecha alta,COORDENADA_X_ETRS89,COORDENADA_Y_ETRS89,LONGITUD,LATITUD,VV (81),DV (82),T (83),HR (86),PB (87),RS (88),P (89),LONGITUD10,LATITUD10
0,28079004,4,Plaza de España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",637,UT,Urbana tráfico,X,X,X,,,,,273600.0,PLAZA,DE,ESPAÑA,01/12/1998,"439579,3291","4475049,263",-3.7122567,40.4238823,,,,,,,,,
1,28079008,8,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,"3°40'56.22""O","40°25'17.63""N",672,UT,Urbana tráfico,X,X,X,X,X,X,X,18900.0,CALLE,DE,ALCALA,01/12/1998,"442117,2366","4474770,696",-3.6823158,40.4215533,,,,,,,,,
2,28079011,11,Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,"3°40'38.50""O","40°27'5.29""N",708,UT,Urbana tráfico,X,,,,,,X,610450.0,CALLE,DEL,PRINCIPE DE VERGARA,01/12/1998,"442564,0457","4478088,595",-3.6773491,40.4514734,,,,,,,,,
3,28079016,16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,"3°38'21.17""O","40°26'24.20""N",695,UF,Urbana fondo,X,,,,,X,,798700.0,CALLE,DEL,VIZCONDE DE LOS ASILOS,01/12/1998,"445786,1729","4476796,019",-3.6392422,40.4400457,,,,,,,,,
4,28079017,17,Villaverde,C/ Juan Peñalver,"3°42'47.89""O","40°20'49.74""N",601,UF,Urbana fondo,X,,,,,X,,417200.0,CALLE,DE,JUAN PEÑALVER,01/12/1998,"439420,7015","4466532,455",-3.7133167,40.347147,,,,,,,,,
5,28079018,18,Farolillo,C/ Farolillo - C/ Ervigio,"3°43'54.61""O","40°23'41.22""N",632,UF,Urbana fondo,X,,X,X,,X,X,1903.0,CALLE,DEL,FAROLILLO,31/03/2001,"437891,6961","4471832,769",-3.7318356,40.3947825,,,,,,,,,
6,28079024,24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",646,S,Suburbana,X,,,X,X,X,X,905219.0,CARRETERA,DEL,TELEFERICO,01/12/1998,"436598,5637","4474571,618",-3.7473445,40.4193577,,,,,,,,,
7,28079027,27,Barajas Pueblo,C/ Júpiter 21,"3°34'48.10""O","40°28'36.93""N",620,UF,Urbana fondo,X,,,,,X,,425700.0,CALLE,DE,JUPITER,31/12/2002,"450835,2026","4480854,172",-3.5800258,40.4769179,,,,,,,,,
8,28079035,35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces,"3°42'11.40""O","40°25'9.15""N",660,UF,Urbana fondo,X,X,X,,,X,,145800.0,PLAZA,DEL,CARMEN,01/11/1999,"440346,3619","4474524,357",-3.7031662,40.4192091,,,,,,,,,
9,28079036,36,Moratalaz,Avda. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",671,UT,Urbana tráfico,X,X,,X,,,,522000.0,AVENIDA,DE,MORATALAZ,01/12/1998,"445245,513","4473237,349",-3.6453104,40.4079517,,,,,,,,,
10,28079038,38,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",699,UT,Urbana tráfico,X,,,X,X,,X,554550.0,AVENIDA,DE,PABLO IGLESIAS,01/11/1998,"440033,4632","4477450,211",-3.7071303,40.4455439,,,,,,,,,
11,28079039,39,Barrio del Pilar,Avda. Betanzos esq. C/  Monforte de Lemos ,"3°42'41.53""O","40°28'41.64""N",676,UT,Urbana tráfico,X,,,,,X,,514425.0,AVENIDA,DE,MONFORTE DE LEMOS,01/05/1998,"439689,0496","4481081,619",-3.7115364,40.4782322,,,,,,,,,
12,28079040,40,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande. ,"3°39'5.50""O","40°23'17.33""N",677,UF,Urbana fondo,X,,,X,,,,75500.0,CALLE,DEL,ARROYO DEL OLIVAR,30/09/1999,"444701,6871","4471043,01",-3.6515286,40.3881478,,,,,,,,,
13,28079047,47,Méndez Álvaro,C/ Juan de Mariana / Plaza Amanecer Méndez Álvaro,"3°41'12.57""O","40°23'53.17""N",600,UF,Urbana fondo,X,,,X,X,,,414800.0,CALLE,DE,JUAN DE MARIANA,21/12/2009,"441715,4303","4472170,249",-3.6868138,40.3980991,,,,,,,,,
14,28079048,48,Castellana,C/ José Gutiérrez Abascal,"3°41'25.34""O","40°26'23.61""N",680,UT,Urbana tráfico,X,,,X,X,,,401400.0,CALLE,DE,JOSE GUTIERREZ ABASCAL,01/02/2010,"441449,6341","4476811,42",-3.6903729,40.4398904,,,,,,,,,
15,28079049,49,Parque del Retiro,Paseo Venezuela- Casa de Vacas,3º 40' 57''O,40º 24' 52''N,662,UF,Urbana fondo,X,,,,,X,,905011.0,PASEO,DE,VENEZUELA,01/01/2010,"442095,52","4473981,74",-3.6824999,40.4144444,,,,,,,,,
16,28079050,50,Plaza Castilla,Plaza Castilla (Canal),"3°41'19.48""O","40°27'56.10""N",728,UT,Urbana tráfico,X,,,X,X,,,154500.0,PLAZA,DE,CASTILLA,01/02/2010,"441609,9474","4479662,346",-3.6887449,40.4655841,,,,,,,,,
17,28079054,54,Ensanche de Vallecas,Avda. La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",629,UF,Urbana fondo,X,,,,,X,,31000516.0,AVENIDA,DE,LA GAVIA,11/12/2009,"448033,2263","4469339,044",-3.6121394,40.3730118,,,,,,,,,
18,28079055,55,Urb. Embajada,C/ Riaño (Barajas) ,"3°34'50.03""O","40°27'44.51""N",619,UF,Urbana fondo,X,,,X,,,X,639250.0,CALLE,DE,RIAÑO,20/01/2010,"450778,8839","4479238,863",-3.5805649,40.4623628,,,,,,,,,
19,28079056,56,Plaza Elíptica,Plaza Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N",605,UT,Urbana tráfico,X,,X,X,X,,,293200.0,PLAZA,,ELIPTICA,18/01/2010,"438991,9161","4470741,548",-3.7187679,40.3850336,,,,,,,,,
20,28079057,57,Sanchinarro,C/ Princesa de Éboli esq. C/ María Tudor,"3°39'37.86""O","40°29'39.12""N",700,UF,Urbana fondo,X,X,,X,X,,,31000002.0,CALLE,DE LA,PRINCESA DE EBOLI,23/11/2009,"444026,808","4482820,581",-3.6605173,40.4942012,,,,,,,,,
21,28079058,58,El Pardo,Avda. La Guardia,"3°46'28.62""O","40°31'4.97""N",612,S,Suburbana,X,,,,,X,,348500.0,AVENIDA,DE LA,GUARDIA,01/12/2009,"434381,6","4485548,7",-3.7746101,40.5180701,,,,,,,,,
22,28079059,59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),"3º 36' 33""O",40º 27' 55''N,660,S,Suburbana,X,,,,,X,,1111.0,,,,14/12/2009,"447744,4666","4479077,678",-3.6163407,40.4607255,,,,,,,,,
23,28079060,60,Tres Olivos,Plaza Tres Olivos ,"3°41'23.03""O","40°30'1.97""N",715,UF,Urbana fondo,X,,,X,,X,,1427.0,PLAZA,DE LOS,TRES OLIVOS,08/02/2010,"441556,7005","4483543,994",-3.6897308,40.5005477,,,,,,,,,
24,28079004,4,Plaza España,Plaza de España,"3°42'43.91""O","40°25'25.98""N",637,,,,,,,,,,273600.0,PLAZA,DE,ESPAÑA,,"439579,3291","4475049,263",-37.122.567,404.238.823,,,X,,,,,-37.122.567-37.122.567-37.122.567-37.122.567-37.122.567-37.122.567-37.122.567-37.122.567-37.122.567-37.122.567,404.238.823404.238.823404.238.823404.238.823404.238.823404.238.823404.238.823404.238.823404.238.823404.238.823
25,28079008,8,Escuelas Aguirre,Entre C/ Alcalá y C/ O’ Donell ,"3°40'56.22""O","40°25'17.63""N",672,,,,,,,,,,18900.0,CALLE,DE,ALCALA,,"442117,2366","4474770,696",-36.823.158,404.215.533,,,X,X,,,,-36.823.158-36.823.158-36.823.158-36.823.158-36.823.158-36.823.158-36.823.158-36.823.158-36.823.158-36.823.158,404.215.533404.215.533404.215.533404.215.533404.215.533404.215.533404.215.533404.215.533404.215.533404.215.533
26,28079016,16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,"3°38'21.17""O","40°26'24.20""N",695,,,,,,,,,,798700.0,CALLE,DEL,VIZCONDE DE LOS ASILOS,,"445786,1729","4476796,019",-36.392.422,404.400.457,,,X,X,,,,-36.392.422-36.392.422-36.392.422-36.392.422-36.392.422-36.392.422-36.392.422-36.392.422-36.392.422-36.392.422,404.400.457404.400.457404.400.457404.400.457404.400.457404.400.457404.400.457404.400.457404.400.457404.400.457
27,28079018,18,Farolillo,Calle Farolillo - C/Ervigio,"3°43'54.61""O","40°23'41.22""N",632,,,,,,,,,,1903.0,CALLE,DEL,FAROLILLO,,"437891,6961","4471832,769",-37.318.356,403.947.825,,,X,,,,,-37.318.356-37.318.356-37.318.356-37.318.356-37.318.356-37.318.356-37.318.356-37.318.356-37.318.356-37.318.356,403.947.825403.947.825403.947.825403.947.825403.947.825403.947.825403.947.825403.947.825403.947.825403.947.825
28,28079024,24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),"3°44'50.44""O","40°25'9.69""N",646,,,,,,,,,,905219.0,CARRETERA,DEL,TELEFERICO,,"436598,5637","4474571,618",-37.473.445,404.193.577,X,X,X,X,X,X,X,-37.473.445-37.473.445-37.473.445-37.473.445-37.473.445-37.473.445-37.473.445-37.473.445-37.473.445-37.473.445,404.193.577404.193.577404.193.577404.193.577404.193.577404.193.577404.193.577404.193.577404.193.577404.193.577
29,28079035,35,Plaza del Carmen,Plaza del Carmen esq. Tres Cruces. ,"3°42'11.40""O","40°25'9.15""N",660,,,,,,,,,,145800.0,PLAZA,DEL,CARMEN,,"440346,3619","4474524,357",-37.031.662,404.192.091,,,X,X,,,,-37.031.662-37.031.662-37.031.662-37.031.662-37.031.662-37.031.662-37.031.662-37.031.662-37.031.662-37.031.662,404.192.091404.192.091404.192.091404.192.091404.192.091404.192.091404.192.091404.192.091404.192.091404.192.091
30,28079036,36,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,"3°38'43.02""O","40°24'28.64""N",671,,,,,,,,,,522000.0,AVENIDA,DE,MORATALAZ,,"445245,513","4473237,349",-36.453.104,404.079.517,,,X,X,,,,-36.453.104-36.453.104-36.453.104-36.453.104-36.453.104-36.453.104-36.453.104-36.453.104-36.453.104-36.453.104,404.079.517404.079.517404.079.517404.079.517404.079.517404.079.517404.079.517404.079.517404.079.517404.079.517
31,28079038,38,Cuatro Caminos,Avd. Pablo Iglesias esq. C/ Marqués de Lema,"3°42'25.64""O","40°26'43.97""N",699,,,,,,,,,,554550.0,AVENIDA,DE,PABLO IGLESIAS,,"440033,4632","4477450,211",-37.071.303,404.455.439,,,X,X,,,,-37.071.303-37.071.303-37.071.303-37.071.303-37.071.303-37.071.303-37.071.303-37.071.303-37.071.303-37.071.303,404.455.439404.455.439404.455.439404.455.439404.455.439404.455.439404.455.439404.455.439404.455.439404.455.439
32,28079039,39,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,"3°42'41.53""O","40°28'41.64""N",676,,,,,,,,,,514425.0,AVENIDA,DE,MONFORTE DE LEMOS,,"439689,0496","4481081,619",-37.115.364,404.782.322,,,X,X,,,X,-37.115.364-37.115.364-37.115.364-37.115.364-37.115.364-37.115.364-37.115.364-37.115.364-37.115.364-37.115.364,404.782.322404.782.322404.782.322404.782.322404.782.322404.782.322404.782.322404.782.322404.782.322404.782.322
33,28079054,54,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,"3°36'43.70""O","40°22'22.84""N",629,,,,,,,,,,31000516.0,AVENIDA,DE,LA GAVIA,,"448033,2263","4469339,044",-36.121.394,403.730.118,X,X,X,X,,X,X,-36.121.394-36.121.394-36.121.394-36.121.394-36.121.394-36.121.394-36.121.394-36.121.394-36.121.394-36.121.394,403.730.118403.730.118403.730.118403.730.118403.730.118403.730.118403.730.118403.730.118403.730.118403.730.118
34,28079056,56,Plaza Elíptica,Pza. Elíptica - Avda. Oporto,"3°43'7.54""O","40°23'6.10""N",605,,,,,,,,,,293200.0,PLAZA,,ELIPTICA,,"438991,9161","4470741,548",-37.187.679,403.850.336,X,X,X,X,X,,X,-37.187.679-37.187.679-37.187.679-37.187.679-37.187.679-37.187.679-37.187.679-37.187.679-37.187.679-37.187.679,403.850.336403.850.336403.850.336403.850.336403.850.336403.850.336403.850.336403.850.336403.850.336403.850.336
35,28079058,58,El Pardo,Avda. La Guardia,"3°46'28.62""O","40°31'4.97""N",612,,,,,,,,,,348500.0,AVENIDA,DE LA,GUARDIA,,"434381,6","4485548,7",-37.746.101,405.180.701,,,X,X,,,,-37.746.101-37.746.101-37.746.101-37.746.101-37.746.101-37.746.101-37.746.101-37.746.101-37.746.101-37.746.101,405.180.701405.180.701405.180.701405.180.701405.180.701405.180.701405.180.701405.180.701405.180.701405.180.701
36,28079059,59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),"3º 36' 33""O",40º 27' 55''N,660,,,,,,,,,,,PARQUE,,JUAN CARLOS I,,"447744,4666","4479077,678",-36.163.407,404.607.255,X,X,X,X,X,X,X,-36.163.407-36.163.407-36.163.407-36.163.407-36.163.407-36.163.407-36.163.407-36.163.407-36.163.407-36.163.407,404.607.255404.607.255404.607.255404.607.255404.607.255404.607.255404.607.255404.607.255404.607.255404.607.255
37,28079102,102,J.M.D. Moratalaz,"C/ Fuente Carantona, 8",3º 38' 13'' O,40º 23' 55'' N,687,,,,,,,,,,315060.0,CALLE,DE LA,FUENTE CARRANTONA,,"445947,89","4472195,4",-363.563.705,4.039.979.278,X,X,X,X,X,X,X,-363.563.705-363.563.705-363.563.705-363.563.705-363.563.705-363.563.705-363.563.705-363.563.705-363.563.705-363.563.705,4.039.979.2784.039.979.2784.039.979.2784.039.979.2784.039.979.2784.039.979.2784.039.979.2784.039.979.2784.039.979.2784.039.979.278
38,28079103,103,J.M.D. Villaverde,"C/ Arroyo Bueno, 53",3º 42' 39'' O,40º 20' 58'' N,594,,,,,,,,,,74200.0,CALLE,DEL,ARROYO BUENO,,"439633,65","4466785,76",-370.952.476,403.506.278,X,X,X,X,X,X,X,-370.952.476-370.952.476-370.952.476-370.952.476-370.952.476-370.952.476-370.952.476-370.952.476-370.952.476-370.952.476,403.506.278403.506.278403.506.278403.506.278403.506.278403.506.278403.506.278403.506.278403.506.278403.506.278
39,28079104,104,E.D.A.R. La China,Embajadores,3º 40' 47'' O,40º 21' 57'' N,566,,,,,,,,,,262000.0,CALLE,DE,EMBAJADORES,,"442177,66","4468453,71",-3.679.722,403.658.333,X,X,,,,,,-3.679.722-3.679.722-3.679.722-3.679.722-3.679.722-3.679.722-3.679.722-3.679.722-3.679.722-3.679.722,403.658.333403.658.333403.658.333403.658.333403.658.333403.658.333403.658.333403.658.333403.658.333403.658.333
40,28079106,106,Centro Mpal. De Acústica,Autovía M-30 Km. 21.700,3º 44' 24'' O,40º 26' 32'' N,587,,,,,,,,,,31001349.0,AUTOVÍA,,M-30,,"437130,68","4476974,19",-3.739.991,40.442.222,X,X,X,X,X,X,X,-3.739.991-3.739.991-3.739.991-3.739.991-3.739.991-3.739.991-3.739.991-3.739.991-3.739.991-3.739.991,40.442.22240.442.22240.442.22240.442.22240.442.22240.442.22240.442.22240.442.22240.442.22240.442.222
41,28079107,107,J.M.D. Hortaleza,"Ctra. de Canillas, 2",3º 39' 24'' O,40º 27' 46'' N,715,,,,,,,,,,133455.0,CARRETERA,DE,CANILLAS,,"444215,2","4479200,02",-3.656.667,40.462.778,X,X,X,X,X,X,X,-3.656.667-3.656.667-3.656.667-3.656.667-3.656.667-3.656.667-3.656.667-3.656.667-3.656.667-3.656.667,40.462.77840.462.77840.462.77840.462.77840.462.77840.462.77840.462.77840.462.77840.462.77840.462.778
42,28079108,108,Peñagrande,C.D.M. Peñagrande,"  3°43'4.37""O"," 40°28'35.88""N",660,,,,,,,,,,514425.0,AVENIDA,DE,MONFORTE DE LEMOS,,"439037,69","4480778,49",-3.717.881,404.766.333,X,X,X,X,X,X,X,-3.717.881-3.717.881-3.717.881-3.717.881-3.717.881-3.717.881-3.717.881-3.717.881-3.717.881-3.717.881,404.766.333404.766.333404.766.333404.766.333404.766.333404.766.333404.766.333404.766.333404.766.333404.766.333
43,28079109,109,J.M.D.Chamberí,"Plaza de Chamberí, 4","  3°41'49.02""O"," 40°25'54.88""N",678,,,,,,,,,,227900.0,PLAZA,DE,CHAMBERI,,"440772,75","4475799,91",-369.695,404.319.111,,,X,X,,,,-369.695-369.695-369.695-369.695-369.695-369.695-369.695-369.695-369.695-369.695,404.319.111404.319.111404.319.111404.319.111404.319.111404.319.111404.319.111404.319.111404.319.111404.319.111
44,28079110,110,J.M.D.Centro,"C/ Mayor, 72","  3°42'38.85""O"," 40°24'56.16""N",647,,,,,,,,,,497800.0,CALLE,,MAYOR,,"439584,05","4473998,69",-3.710.792,404.156,,,X,X,,,,-3.710.792-3.710.792-3.710.792-3.710.792-3.710.792-3.710.792-3.710.792-3.710.792-3.710.792-3.710.792,404.156404.156404.156404.156404.156404.156404.156404.156404.156404.156
45,28079111,111,J.M.D.Chamartin,"C/ Principe de Vergara, 142","  3°40'40.64""O"," 40°26'41.61""N",704,,,,,,,,,,610450.0,CALLE,DEL,PRINCIPE DE VERGARA,,"442171,33","4474760,82",-36.803.686,404.226.491,,,X,X,,,,-36.803.686-36.803.686-36.803.686-36.803.686-36.803.686-36.803.686-36.803.686-36.803.686-36.803.686-36.803.686,404.226.491404.226.491404.226.491404.226.491404.226.491404.226.491404.226.491404.226.491404.226.491404.226.491
46,28079112,112,J.M.D.Vallecas 1,"Avda. Albufera, 42","  3°39'59.24""O"," 40°23'47.30""N",607,,,,,,,,,,18600.0,AVENIDA,DE LA,ALBUFERA,,"443329,69","4471846,08",-3.666.456,40.396.472,,,X,X,,,,-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456,40.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.472
47,28079113,113,J.M.D.Vallecas 2,"Avda. Albufera, 42","  3°39'59.24""O"," 40°23'47.30""N",607,,,,,,,,,,18600.0,AVENIDA,DE LA,ALBUFERA,,"443329,69","4471846,08",-3.666.456,40.396.472,,,X,X,,,,-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456-3.666.456,40.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.47240.396.472
48,28079114,114,Matadero 01,"Paseo de la Chopera, 10","  3°41'51.47""O"," 40°23'33.16""N",570,,,,,,,,,,230600.0,PASEO,DE LA,CHOPERA,,"440680,48","4471430,55",-3.697.631,403.925.444,,,X,X,,,,-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631,403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444
49,28079115,115,Matadero 02,"Paseo de la Chopera, 10","  3°41'51.47""O"," 40°23'33.16""N",570,,,,,,,,,,230600.0,PASEO,DE LA,CHOPERA,,"440680,48","4471430,55",-3.697.631,403.925.444,,,X,X,,,,-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631-3.697.631,403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444403.925.444
